,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
0,-1131.3707275390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.8579025,409.8579025,409.8579025,409.8579025,409.8579025,409.8579025,409.8579025,409.8579025,409.8579025,409.8579025,409.8579025,409.8579025,409.8579025,625.3647232,625.8737564,625.6103897,625.9842682,625.2573395,624.767952,625.2309036,624.980011,624.515686,625.6267166,626.7423248,627.1963882,628.1673431,629.2882538,0.0,0.0,0.0
1,-1131.3707275390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.2337494,956.4891815,961.8743896,729.1255188,963.7445831,966.3465881,966.3414001,966.3323212,735.9859467,737.5927734,971.5557098,741.5406036,740.0391388,738.7918854,741.5184021,965.3183746,969.3755341,968.5279846,971.1336517,974.2089844,977.2861481
2,-600.1610717773438,83.29289245605469,-0.8556063175201416,-6.247251510620117,9.514754295349121,1.2608379125595093,-3.9746181964874268,-1.1229372024536133,-2.315084218978882,-0.7824259996414185,2.1360161304473877,-0.264066219329834,-0.8713123798370361,1.131325602531433,-0.9451233148574829,-2.548100709915161,-1.3187323808670044,-1.339025855064392,-0.9397854804992676,-0.3883923590183258,978.0108643,978.6727905,979.7015381,978.6666107,978.6101532,980.0520325,979.6897125,981.3333893,983.3085632,985.1665497,989.5057678,985.8629608,984.0163422,984.9750519,984.4903564,988.9418793,985.1179504,986.6043091,983.4914398,985.410614,986.8180847,990.8959198,992.306366,992.7668762,748.1464386,751.1553192,0.0,0.0,747.9040527,748.7944794
3,-314.3075256347656,294.2652282714844,-18.23545265197754,-43.24111557006836,23.966575622558594,1.2682390213012695,-17.122756958007812,-0.6723709106445312,-0.46428242325782776,-2.4450302124023438,0.8884430527687073,-3.2689201831817627,-0.7734512686729431,3.7854785919189453,-3.0857512950897217,-5.136468410491943,-2.511305809020996,-6.547234058380127,-6.633396148681641,-4.053586959838867,747.6951599,744.1162109,742.2312164,1004.597473,1001.056442,998.3210754,1001.075058,998.110733,993.9608765,993.7113953,991.3137817,998.925705,997.0800781,758.0590057,1002.47261,1005.335541,1014.058151,1020.634537,1024.127121,1021.121521,1016.50116,762.0370483,757.0470428,1000.429916,997.3052979,747.6574707,0.0,991.1534119,993.2394409,1000.373993
4,-286.89984130859375,295.6566467285156,-25.35576629638672,-38.542938232421875,30.19839096069336,-1.347459077835083,-17.1920166015625,3.8577425479888916,2.328808307647705,1.493180513381958,5.635476112365723,-3.589728355407715,-3.926231622695923,3.167783260345459,-1.9800055027008057,-5.2010579109191895,-4.247290134429932,-8.857306480407715,-7.896726608276367,-4.20456075668335,999.3409729,1002.347183,1004.335556,764.5012665,764.7867584,764.7715759,763.0361176,756.8352509,757.2595978,762.5253296,1017.376556,758.0870819,752.7889252,1012.881393,1007.886734,1008.859711,999.9306488,993.9861298,989.0727997,984.1770935,982.2000122,978.3285522,974.8226166,968.667984,966.9261932,941.5122986,964.3718719,0.0,0.0,0.0
5,-278.03240966796875,296.518310546875,-22.84119415283203,-38.31672286987305,28.79052734375,-0.5599871873855591,-18.73778533935547,1.4651769399642944,3.044260025024414,-0.3210853040218353,2.265794515609741,-4.964334964752197,-5.793452739715576,2.960137128829956,0.5619987845420837,-2.701550245285034,-1.4959564208984375,-6.327874660491943,-7.335658073425293,-3.993899345397949,0.0,0.0,703.4024048,695.0010681,682.5695038,408.7823486,409.4737625,406.8642426,405.8457565,402.9794693,400.7146454,399.734993,402.2366714,401.6326523,399.6841431,399.0863419,400.3422165,401.2583923,401.4910507,406.0957718,0.0,649.9123383,652.6716614,656.1386108,672.2229767,722.298584,541.2212753,563.339653,568.1159973,566.3739777
6,-309.3234558105469,253.52377319335938,1.5651662349700928,-43.49322509765625,12.750499725341797,9.110749244689941,-15.294599533081055,-5.3535966873168945,6.599155426025391,-0.5638234615325928,-8.564587593078613,-6.975621223449707,-2.703336477279663,0.39180296659469604,0.8934020400047302,-3.6736176013946533,-6.684831142425537,-3.3127939701080322,-2.166238784790039,-4.3016886711120605,565.7561874,843.6194611,843.1547546,844.6403503,841.9048309,840.8707428,576.5845871,576.8698883,849.1106415,587.0272446,836.9578552,583.4202957,583.5209274,847.5046539,853.3526611,581.8583298,925.868454,949.1906738,982.4382019,587.4440384,1008.90564,1024.102478,1020.99472,1018.971863,1019.7155,1019.804153,1021.274872,1020.926208,0.0,0.0
7,-292.7847595214844,266.1618957519531,-9.658743858337402,-46.320186614990234,12.70287799835205,0.18163996934890747,-17.025785446166992,-1.483232855796814,-0.5636653304100037,-10.344076156616211,-7.884552478790283,-2.823512315750122,-0.2968157231807709,3.898297071456909,3.977710247039795,-2.7781879901885986,-8.563959121704102,-8.109825134277344,-3.7465977668762207,-0.027522027492523193,1013.733292,1004.735565,1002.600479,1005.529785,998.5032654,994.8256683,988.1511688,972.4118042,967.1274567,587.415123,589.5875931,590.0344849,590.8059692,594.0145874,0.0,0.0,587.7395248,960.8229828,956.823349,948.6582184,949.7002411,589.0551758,924.2434692,913.4542084,891.576004,582.1243286,580.3149414,800.5675507,490.4009628,759.9575043
8,-285.8934020996094,270.5117492675781,-14.931221008300781,-35.29910659790039,24.737411499023438,4.612544059753418,-12.798989295959473,-3.3278188705444336,-2.791639566421509,-1.024258017539978,1.6689167022705078,-2.339027166366577,0.6237934827804565,8.318472862243652,7.4686713218688965,2.750063419342041,-2.1763322353363037,-7.395217418670654,-5.867401599884033,-1.8793920278549194,478.1977463,475.1006317,476.2376022,476.5840149,475.7236862,763.1015015,765.1969147,461.4291763,761.288147,459.6377182,462.0146942,462.2312546,463.2035828,0.0,0.0,0.0,0.0,0.0,0.0,393.5131454,395.940361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-321.80126953125,253.21803283691406,3.4997920989990234,-34.97337341308594,12.78254508972168,-2.160688638687134,-21.44648551940918,-4.315424919128418,6.601649284362793,1.5096684694290161,-3.1282949447631836,-5.683379650115967,-4.987654209136963,-0.28394296765327454,0.8167117834091187,-2.467302083969116,-4.192771911621094,-4.701848030090332,-5.042369842529297,-3.826007604598999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.5449371,1085.037308,535.5781937,534.2330551,536.1524582,536.8410492,535.4263687,0.0,0.0,0.0,0.0,0.0,1111.554947,525.5454254,1087.300949,523.8425064,0.0,0.0,0.0,0.0,715.8065033,518.9677811
