,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
10,-433.3004150390625,224.96080017089844,38.13339614868164,-23.5515193939209,-3.202181100845337,-0.6059550642967224,-9.780155181884766,-6.867623329162598,-6.664999961853027,-10.231208801269531,-4.171247959136963,3.3185088634490967,0.795417845249176,-4.307101249694824,-7.117867469787598,-11.136609077453613,-13.383509635925293,-10.049802780151367,-4.586515426635742,-3.2361698150634766,613.5500336,610.737648,612.3696518,616.064682,616.064682,621.4970016,630.7553482,634.4582748,638.9673996,642.0220947,642.0220947,639.366188,642.510376,642.244339,641.4419556,641.3053894,641.3053894,500.7746506,501.0569763,502.0986557,501.1899948,661.3417816,661.3417816,703.2804108,724.1092682,726.5470123,688.7405396,700.864563,700.864563,706.4673615
11,-406.15643310546875,226.69808959960938,23.74942970275879,-33.48455047607422,-4.783018112182617,-4.404671669006348,-16.634063720703125,-11.871246337890625,-9.618216514587402,-11.570155143737793,-6.734086513519287,-0.6399495601654053,1.8163388967514038,0.7699726223945618,-5.488490104675293,-12.460098266601562,-13.108187675476074,-9.113844871520996,-5.587323188781738,-1.7429479360580444,708.9149475,711.052475,709.8220825,711.0559845,711.0559845,714.876709,715.5210114,715.0828552,718.0819702,721.4936066,721.4936066,518.8605118,519.9354553,520.8866119,522.7499008,527.4929428,527.4929428,714.372406,715.1828003,714.8647308,713.8065338,525.9460831,525.9460831,529.6540451,527.336998,713.6204529,529.5944595,711.9047546,711.9047546,712.0355225
12,-422.0316467285156,220.9910888671875,28.798738479614258,-27.163110733032227,-2.639338254928589,-8.754596710205078,-21.70263671875,-8.610657691955566,-5.3143205642700195,-16.510330200195312,-11.088956832885742,3.5836853981018066,5.864089012145996,3.5255157947540283,4.3555121421813965,0.2522408366203308,-7.881579399108887,-10.619544982910156,-8.114407539367676,-5.370502471923828,711.8978119,711.5997314,714.9780273,715.4615021,715.4615021,718.5015869,595.546608,589.6882629,597.0355988,698.5668182,698.5668182,695.276947,695.0144958,691.6543579,686.9487,684.6115112,684.6115112,685.1597595,688.1236267,688.9625549,687.5922394,688.2769775,688.2769775,688.891983,688.9399719,687.2278595,685.783844,686.297226,686.297226,686.8454742
13,-409.55804443359375,232.8283233642578,18.711944580078125,-32.11759567260742,5.510663032531738,1.1586828231811523,-17.086767196655273,-10.414678573608398,-8.297842025756836,-13.927565574645996,-9.651081085205078,-4.511616230010986,-5.106545925140381,-4.463131904602051,-3.8979833126068115,-4.998369216918945,-4.093781471252441,-2.7945592403411865,-1.8165444135665894,1.882646918296814,686.3105011,685.1942444,687.5993347,686.8691254,686.8691254,689.3482208,687.4476624,688.7034607,687.9231262,688.9949799,688.9949799,687.2978973,689.0608978,687.0614624,688.9016724,689.1999054,689.1999054,688.0382538,684.694519,685.8859253,686.2177277,687.1549225,687.1549225,689.2779541,689.5388794,691.6420746,691.6047668,695.0321198,695.0321198,699.4702911
14,-396.3846435546875,241.62351989746094,21.409183502197266,-32.20041275024414,2.049424409866333,-2.821812391281128,-19.127466201782227,-14.034934997558594,-11.89919662475586,-13.662238121032715,-9.767988204956055,-9.222917556762695,-9.973095893859863,-5.900655269622803,-4.916212558746338,-6.8526997566223145,-5.1407246589660645,-1.696142554283142,2.102992534637451,4.02036714553833,698.760376,697.9029846,539.704628,698.391571,698.391571,687.9625702,680.4833984,535.9316254,536.0160065,535.1949692,535.1949692,535.7233429,536.7102432,536.5859985,535.8885574,535.97332,535.97332,534.1321564,643.7853241,643.5681915,643.4457397,644.6781921,644.6781921,642.0240784,643.6775208,646.9015503,642.5801849,634.8629761,634.8629761,627.6966476
15,-418.51055908203125,208.6575927734375,26.465349197387695,-23.165403366088867,-1.379036784172058,-5.864832878112793,-13.179402351379395,-7.4844970703125,-13.721927642822266,-19.594579696655273,-11.418646812438965,-5.497893333435059,-2.8758506774902344,4.367890357971191,5.697449207305908,-1.9112387895584106,-6.82908821105957,-7.318854808807373,-7.098369598388672,-4.500360012054443,625.9505081,626.0229492,558.5684967,626.007576,626.007576,622.0651627,620.7645798,616.5312195,613.9337921,616.4400864,616.4400864,616.6714478,615.2256775,614.3099594,616.914978,616.3683319,616.3683319,614.1723251,614.8363495,614.6235275,616.2186813,615.5003738,615.5003738,486.9401169,486.7435837,488.2537079,489.6491623,492.0411301,492.0411301,605.2035141
16,-410.9983825683594,233.72251892089844,14.740803718566895,-30.0871639251709,3.8533012866973877,-8.914868354797363,-24.838659286499023,-12.807757377624512,-9.846211433410645,-18.25618553161621,-16.035383224487305,-4.196205139160156,3.2949068546295166,2.2594680786132812,1.6646623611450195,3.2990529537200928,-0.6498264074325562,-4.750524520874023,-0.36071109771728516,7.053849220275879,605.7014465,604.8335266,0.0,0.0,0.0,491.6174316,591.5337753,601.21315,613.9452744,624.0839767,624.0839767,637.2057343,644.4831848,648.5639954,649.1799927,649.4483185,649.4483185,647.1592712,646.4381409,644.441452,644.0313721,643.6850739,643.6850739,643.720932,644.8890686,648.2003784,649.9324799,645.4125214,645.4125214,646.2602997
17,-470.3098449707031,226.70101928710938,22.04612922668457,-36.15207290649414,-10.913873672485352,-12.542348861694336,-18.961627960205078,-9.982878684997559,-12.301855087280273,-14.483267784118652,0.40067675709724426,11.757216453552246,10.094292640686035,6.422242641448975,0.7567048072814941,-7.191551685333252,-9.537672996520996,-6.513768672943115,-3.217315912246704,1.4786545038223267,644.8860931,645.8399963,643.0958557,640.1756287,640.1756287,637.9450607,510.6995773,510.2828979,637.6739502,510.6280899,510.6280899,507.3332214,508.5441208,511.5814209,510.589447,510.4977798,510.4977798,638.1652451,639.4664383,505.7129669,506.4529037,507.7610397,507.7610397,507.9577255,640.6201935,504.5537186,502.3892593,504.3047333,504.3047333,506.960144
18,-437.07049560546875,242.5887451171875,19.33623695373535,-32.982967376708984,-2.9120094776153564,-8.07329273223877,-17.22447967529297,-13.553149223327637,-16.338539123535156,-13.860822677612305,-7.334575653076172,-7.981660842895508,-5.423220634460449,0.03817550092935562,-0.1364128142595291,0.2359563261270523,0.8500843048095703,-3.020505428314209,-3.8231632709503174,0.22343295812606812,509.7206116,513.4430695,659.907608,666.4595795,666.4595795,673.5739899,678.5649109,683.5910034,686.8379211,686.8375397,686.8375397,687.1524811,687.1231842,686.4434052,686.1846161,686.7857361,686.7857361,688.9356232,689.3802643,690.79216,691.4437866,690.6407928,690.6407928,689.1065216,687.2595215,688.6685181,567.7041626,685.2716064,685.2716064,684.8773193
19,-478.2879943847656,235.503662109375,29.414735794067383,-27.139673233032227,-1.1715507507324219,-8.68033218383789,-22.824886322021484,-13.524408340454102,-12.843083381652832,-19.07647705078125,-9.779680252075195,0.09084410220384598,-1.8835989236831665,-0.47625333070755005,5.152227878570557,1.0515881776809692,-7.413644313812256,-7.140483379364014,-1.7849534749984741,-0.07744570076465607,685.1015472,698.3965302,711.2999725,545.3596115,545.3596115,732.5580597,543.6379242,539.9723816,540.5870819,738.9234161,738.9234161,735.5718994,735.7872772,537.4728775,535.5654907,537.0627594,537.0627594,536.5509796,534.2103577,536.4050674,540.8512878,744.7859192,744.7859192,745.447998,744.0880585,743.7992096,743.3255005,742.1983337,742.1983337,742.4266815
20,-429.5998229980469,239.533447265625,25.474733352661133,-26.75039291381836,9.065165519714355,0.503919243812561,-23.541139602661133,-18.983110427856445,-13.537117958068848,-18.1047420501709,-15.187573432922363,-7.617295742034912,-7.112223148345947,-10.077567100524902,-9.026517868041992,-3.8718557357788086,2.588174819946289,7.286312580108643,7.274785041809082,2.4782252311706543,742.7597046,742.0283508,742.2598267,743.7229156,743.7229156,747.9203033,747.5705719,748.2548523,748.7638092,528.175621,528.175621,742.3752594,731.08078,731.0939789,731.7035675,731.9512177,731.9512177,731.5797424,733.0418396,733.4416199,735.1502991,738.2278442,738.2278442,737.6235962,537.0604324,739.3894196,743.2080841,541.2423325,541.2423325,537.0931625
21,-493.69000244140625,265.9758605957031,25.21858787536621,-23.763051986694336,15.260029792785645,5.6249613761901855,-12.318416595458984,-6.3702239990234375,-6.422700881958008,-14.116198539733887,-13.662986755371094,-6.963362216949463,-0.9205867648124695,2.610072612762451,5.862853527069092,7.45426082611084,1.2197978496551514,-6.942540645599365,-7.438324451446533,-7.532336235046387,0.0,537.6120758,536.2403488,738.1143188,738.1143188,737.7641296,737.1269226,541.23703,540.6867218,539.1141891,539.1141891,541.8696594,541.6309357,541.8867874,708.9913177,699.8622894,699.8622894,536.4124298,534.1279221,532.24617,531.8309021,529.5934677,529.5934677,529.0522766,529.4805908,529.1766357,526.4380264,525.3232956,525.3232956,524.9408722
22,-432.2035827636719,230.13418579101562,34.873260498046875,-19.652568817138672,9.316139221191406,0.4524165689945221,-22.53515625,-14.383330345153809,-5.588025093078613,-13.910627365112305,-17.829145431518555,-12.501343727111816,-6.8559393882751465,-0.28111639618873596,3.847625970840454,-0.8987795114517212,-6.693049430847168,-2.9807746410369873,4.327336311340332,3.4359359741210938,522.5932693,687.4970245,685.914917,523.2595825,523.2595825,525.892067,526.8485641,526.4259338,686.842041,526.1620712,526.1620712,527.2694397,526.2278748,526.8862915,527.2771072,529.8367691,529.8367691,695.3559875,694.2825317,692.6985931,690.9736633,688.2295227,688.2295227,685.4026794,686.5115356,685.9557343,683.4072113,678.7093353,678.7093353,527.8621674
